Ref_num,No,Author,Beam Name,unit,shape,h,dp,ds,d,bw,btop,bbot,ttop,tbot,bslab,tslab,yb,egc,Ag,Ig,Ic,L,aa,ba,a_d,M_Vd,Loading,control,fctest,fpc,f1c,fcslab,test,fcttest,f1t,agg,Aps,fpy,fpu,rhopl,d_Angle,fse,As,fy,rhol,Av,fvy,sv,rhov,rhovfvy,Vtest,Mn,Mf,Mf_Mn,Failure
42,R0042_011,"Elzanaty, Nilson, Slate (1986)",F15,U,R,12,0,10.75,10.75,7,0,0,0,0,0,0,6,0,84,1008,1008,150,0,0,4,3,SS-2PL,,,11500,,0,,494,,0.5,0,0,0,0,0,0,1.88,63,2.5,0,0,0,0,0,14.9,101.6,53.4,0.5,S
42,R0042_012,"Elzanaty, Nilson, Slate (1986)",F3,U,R,12,0,10.75,10.75,7,0,0,0,0,0,0,6,0,84,1008,1008,150,0,0,2,1,SS-2PL,,,10000,,0,,471,,0.5,0,0,0,0,0,0,0.9,63,1.2,0,0,0,0,0,17.9,53.2,32.1,0.6,S
42,R0042_013,"Elzanaty, Nilson, Slate (1986)",F4,U,R,12,0,10.75,10.75,7,0,0,0,0,0,0,6,0,84,1008,1008,150,0,0,2,1,SS-2PL,,,10000,,0,,471,,0.5,0,0,0,0,0,0,1.88,63,2.5,0,0,0,0,0,25.5,99.3,45.7,0.5,S
42,R0042_014,"Elzanaty, Nilson, Slate (1986)",F5,U,R,12,0,10.75,10.75,7,0,0,0,0,0,0,6,0,84,1008,1008,150,0,0,6,5,SS-2PL,,,9200,,0,,459,,0.5,0,0,0,0,0,0,0.9,63,1.2,0,0,0,0,0,9.7,52.7,52.1,1,S
42,R0042_015,"Elzanaty, Nilson, Slate (1986)",F6,U,R,12,0,10.75,10.75,7,0,0,0,0,0,0,6,0,84,1008,1008,150,0,0,6,5,SS-2PL,,,9200,,0,,459,,0.5,0,0,0,0,0,0,1.88,63,2.5,0,0,0,0,0,13.5,98.1,72.6,0.7,S
43,R0043_001,"Ahmad, Kahloo (1986)",A1,U,R,10,0,8,8,5,0,0,0,0,0,0,5,0,50,417,417,80,4,6,4,3,SS-2PL,,,9047,,0,,456,,0.5,0,0,0,0,0,0,1.58,60,3.93,0,0,0,0,0,13,53.9,34.7,0.6,S
43,R0043_002,"Ahmad, Kahloo (1986)",A2,U,R,10,0,8,8,5,0,0,0,0,0,0,5,0,50,417,417,64,4,6,3,2,SS-2PL,,,9047,,0,,456,,0.5,0,0,0,0,0,0,1.58,60,3.93,0,0,0,0,0,15.5,53.9,31,0.6,S
43,R0043_003,"Ahmad, Kahloo (1986)",A3,U,R,10,0,8,8,5,0,0,0,0,0,0,5,0,50,417,417,59,4,6,2.7,1.7,SS-2PL,,,9047,,0,,456,,0.5,0,0,0,0,0,0,1.58,60,3.93,0,0,0,0,0,15.5,53.9,27.9,0.5,S
43,R0043_004,"Ahmad, Kahloo (1986)",A4,U,R,10,0,8,8,5,0,0,0,0,0,0,5,0,50,417,417,53,4,6,2.3,1.3,SS-2PL,,,9047,,0,,456,,0.5,0,0,0,0,0,0,1.58,60,3.93,0,0,0,0,0,21,53.9,32.2,0.6,S
43,R0043_005,"Ahmad, Kahloo (1986)",A5,U,R,10,0,8,8,5,0,0,0,0,0,0,5,0,50,417,417,48,4,6,2,1,SS-2PL,,,9047,,0,,456,,0.5,0,0,0,0,0,0,1.58,60,3.93,0,0,0,0,0,37.5,53.9,50,0.9,S
